date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-14 23:58:49,sachikoko,,0,30,10," SWEET 4MO ORANGE #TABBY #KITTEN ""FERRAN"" NEEDS ADOPTION OR #RESCUE ID 622318 Cage 637 https://ift.tt/3fILY1T #ADOPT #PLEDGE #SAVEALIFE #AdoptDontShop #MARIETTA #GA @cobbkitties #CAT #AdoptMe #AdoptAShelterCat #CatsofTwitter #RescueMe",,@cobbkitties,#TABBY #KITTEN #RESCUE #ADOPT #PLEDGE #SAVEALIFE #AdoptDontShop #MARIETTA #GA #CAT #AdoptMe #AdoptAShelterCat #CatsofTwitter #RescueMe,1261083580064600064,https://twitter.com/sachikoko/status/1261083580064600064
2019-10-17 23:24:40,FarandWidecom,,52,19,54,"English is the most spoken language in the world. Can you guess what No. 2 is?",,,,1184973532738052096,https://twitter.com/FarandWidecom/status/1184973532738052096
2020-05-14 23:49:02,MeowMoeDotCom,,0,8,19,"My new #Kitten #Lilac #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe https://www.meowmoe.com/634452/my-new-kitten-lilac/ .",,,#Kitten #Lilac #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe,1261081118218096640,https://twitter.com/MeowMoeDotCom/status/1261081118218096640
2020-05-14 23:46:02,MeowMoeDotCom,,0,6,14,"#Ikki (probably around 7-8 w/o) #Adopted from a #Friend. First #Pet ever had and it’s a little #Joy of #Furball #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe https://www.meowmoe.com/634450/ikki-probably-around-7-8-w-o-adopted-from-a-friend-first-pet-ever-had-and-its-a-little-joy-of-furball/ .",,,#Ikki #Adopted #Friend #Pet #Joy #Furball #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe,1261080362844860417,https://twitter.com/MeowMoeDotCom/status/1261080362844860417
2020-05-14 20:34:39,StrayCat_SCA,,1,12,25,"DO YOU REMEMBER NINA (NOW DINAH!)? Baby Dinah didn't have much time left! She was skin and bones w/ not much strength to keep herself alive. Fast forward, Dinah recovered beautifully ! @dodo reached out to us and asked if they could do a video: https://thedo.do/2Wtox51 #kitten ",,@dodo,#kitten,1261032197152075776,https://twitter.com/StrayCat_SCA/status/1261032197152075776
2020-05-14 18:51:19,freetousesounds,,1,7,41,"Working with the cutest foley artist in the world ! #sounddesign #foley #foleyartist #gameaudio #musicproducer #cats #kitten #fun #ableton #fieldrecording #sounddesigner #audiogear #postproduction #soundengineer",,,#sounddesign #foley #foleyartist #gameaudio #musicproducer #cats #kitten #fun #ableton #fieldrecording #sounddesigner #audiogear #postproduction #soundengineer,1261006194895978498,https://twitter.com/freetousesounds/status/1261006194895978498
2020-05-14 16:17:46,pattucheenu,,1,24,80,"Cute Kitten Relaxing Time #Tom Watching #TomandJerry #GoodNight &amp; #SweetDreams ℒℴѵℯ &amp; Hugs To All My lovely Friends Have A Peaceful Sleep God Bless ℒℴѵℯ You All #Cat #Cutenessoverlod #Kitten #CatsOnTwitter #Catlovers #StaySafe #StayPositive",,,#Tom #TomandJerry #GoodNight #SweetDreams #Cat #Cutenessoverlod #Kitten #CatsOnTwitter #Catlovers #StaySafe #StayPositive,1260967550583574531,https://twitter.com/pattucheenu/status/1260967550583574531
2020-05-14 16:09:52,joesdailycat,,8,48,238,"Random Cat Of The Day - Here's your daily cat! #rcotd #catoftheday #kitten ",,,#rcotd #catoftheday #kitten,1260965564614234115,https://twitter.com/joesdailycat/status/1260965564614234115
2020-05-14 13:30:14,greatstuffuneed,,0,25,18,"Check out CUTE!! Gold Rhinestone Cat with Dangling Fish and Bowl Pin #Cat #Kitten https://ebay.us/TNF5IT via @eBay",,@eBay,#Cat #Kitten,1260925389523824640,https://twitter.com/greatstuffuneed/status/1260925389523824640
2020-05-14 09:33:06,catsnkittys,,9,88,691,"Kitten with Twisted Legs and Bear Ears Gets the Purr-fect Foster Parents A tiny #kitten with twisted front legs arrived at Friends for Life Rescue Network in Los Angeles for a chance at a better life. Meet Quill! CLICK to find out more &gt; https://bit.ly/3caqetc?utm_campaign=meetedgar&amp;utm_medium=social&amp;utm_source=meetedgar.com",,,#kitten,1260865715277619203,https://twitter.com/catsnkittys/status/1260865715277619203
2020-05-14 07:19:50,KittensCam,,6,3,76,"Morning from Alex (cat speak for what a good boy I am) #foster #kitten #CatsOfTwitter #cats",,,#foster #kitten #CatsOfTwitter #cats,1260832177396252675,https://twitter.com/KittensCam/status/1260832177396252675
2020-05-14 03:42:15,damonheller,,4,3,31,"Vehicle exited grand on the NB5 ... vehicle stopped #chase #kitten #SmokeNScan",,,#chase #kitten #SmokeNScan,1260777417234210817,https://twitter.com/damonheller/status/1260777417234210817
2020-05-13 11:04:43,AlanDaffern,,3,86,28,"#Missing male #TabbyAndWhite #Kitten #Lost the 5th of May 2020 From near Digby Park (Mansel Road, Somerville Road, Floyer Road, St Benedicks Road) #SmallHeath #B10 area Wearing a red collar Check gardens/sheds/under hedges #missingcat pic.twitter.com/3DHtIOIkuz",,,#Missing #TabbyAndWhite #Kitten #Lost #SmallHeath #B10 #missingcat,1260526382137950210,https://twitter.com/AlanDaffern/status/1260526382137950210
2020-05-13 06:22:55,worldforall,,0,9,9,"These pretty little girls are up for adoption in Mumbai. They were were dumped outside a building by a vegetable man when they were 10 days old. We are urgently looking for an amazing forever home for these babies. Call 9820496099 to foster/adopt #worldforall #kitten ",,,#worldforall #kitten,1260455464539742211,https://twitter.com/worldforall/status/1260455464539742211
2020-05-13 02:31:00,AndreaKitta,,2,1,19,"I was a very small part of a daring #kitten rescue today. Thanks to Logan for finding him and @aydennc firefighters and public works for all of their hard work! Faith in humanity restored!!!! #PositiveNews https://m.facebook.com/story.php?story_fbid=10158159526502165&amp;id=512182164?sfnsn=mo",,@aydennc,#kitten #PositiveNews,1260397101046996992,https://twitter.com/AndreaKitta/status/1260397101046996992
2020-05-12 23:53:34,BeemanJay,,1,6,29,"This is Miss Scarlet Witch The Flerken. Sometimes I like to call her Little Miss Stinky Toebeans. I'm so glad she came into our lives last December on Friday the 13th. She has brought so much joy to our household. #kitten #cats #CatsOfTwitter #Flerken #OrangeTabby #RescueCat #aww",,,#kitten #cats #CatsOfTwitter #Flerken #OrangeTabby #RescueCat #aww,1260357482796290048,https://twitter.com/BeemanJay/status/1260357482796290048
2020-05-12 22:43:12,BrendaPerrott,NYCDEATHROWCATS,2,28,14,"#Sweet #kitten NEHEMIAH wants to live and love and have a happy home! #ADOPT #FOSTER #PLEDGE ! #NYC #cats #sweet #kitten ",,,#Sweet #kitten #ADOPT #FOSTER #PLEDGE #NYC #cats #sweet #kitten,1260339771823570945,https://twitter.com/BrendaPerrott/status/1260339771823570945
2020-05-12 21:11:05,catsnkittys,,9,52,497,"This Shelter Kitten Felt All Alone Until Someone Saw Her True Beauty Trinity the #kitten was quite lonely in the shelter. Sadly, people would just pass her by but all she really wanted was to love and to be loved. This is her story... CLICK to view &gt; https://bit.ly/2zvPqMM?utm_campaign=meetedgar&amp;utm_medium=social&amp;utm_source=meetedgar.com",,,#kitten,1260316590618431488,https://twitter.com/catsnkittys/status/1260316590618431488
2020-05-12 18:01:19,StrayCat_SCA,,3,17,54,"WE RESCUED A LITTLE KITTEN NAMED APPLESAUCE! Applesauce is the newest addition to our family! She is only 4-5 w/o and looks like Arely's twin She'll need eye surgery, just like Arely, once she's old enough. But for now, she is adorable and will soon be Arely's bestie! #kitten ",,,#kitten,1260268834751037440,https://twitter.com/StrayCat_SCA/status/1260268834751037440
2020-05-14 18:44:50,casey_lee_w,,0,0,11,"My little brother just got a kitten and honestly I can’t even with the two of them #caturday #kitten ",,,#caturday #kitten,1261004561055186947,https://twitter.com/casey_lee_w/status/1261004561055186947
2019-10-17 23:25:17,FarandWidecom,,138,54,152,"English is the most spoken language in the world. Can you guess what No. 2 is?",,,,1184973688329953281,https://twitter.com/FarandWidecom/status/1184973688329953281
2020-05-14 16:25:43,kitten_poker,,0,4,6,"This is Red ^_^ Red likes to chase a laser dot in the Meadow while munching on some nice chicken ^_^ #kittenpokercreations #draggos #reddragon #kittydragon #kittycat #kitten #dragondrawing #markerart #dragondesign #cutedragon #littledragon #tinydragon #fantasycreature",,,#kittenpokercreations #draggos #reddragon #kittydragon #kittycat #kitten #dragondrawing #markerart #dragondesign #cutedragon #littledragon #tinydragon #fantasycreature,1260969550696325123,https://twitter.com/kitten_poker/status/1260969550696325123
2020-05-14 16:09:27,MeowzineUK,,0,2,6,"Wat do you mean I can’t jump out da window? Itz purrfectly safe. Lemme show you. No? Seriously? Ugh. . . . #CatsOfTwitter #CatsOfInstagram #Kitten #CuteCats #CuteAnimals #TeamFloof #LoveYourPets #CalicoCat @RSPCA_official @CatsProtection",,@RSPCA_official @CatsProtection,#CatsOfTwitter #CatsOfInstagram #Kitten #CuteCats #CuteAnimals #TeamFloof #LoveYourPets #CalicoCat,1260965459064696832,https://twitter.com/MeowzineUK/status/1260965459064696832
2020-05-14 04:23:18,BrendaPerrott,cobbkitties,0,17,11,"#sweet boy #kitten FIAK is in #COBBCOUNTY / #MARIETTAGA and needs a loyal, loving home! #ADOPT / #PLEDGE for #rescue! #Marietta #Georgia #cats",,,#sweet #kitten #COBBCOUNTY #MARIETTAGA #ADOPT #PLEDGE #rescue #Marietta #Georgia #cats,1260787751634513925,https://twitter.com/BrendaPerrott/status/1260787751634513925
2020-05-13 16:33:28,realmetallicat,,1,1,14,"More climbing up my leg to reach my lap. #kittens #kitten #CatsOfTwitter #cats #silvertabby #CuteCats",,,#kittens #kitten #CatsOfTwitter #cats #silvertabby #CuteCats,1260609115321229319,https://twitter.com/realmetallicat/status/1260609115321229319
