date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-26 15:29:49,RealActorRob,SandraK93322487,1,6,3,"Good Lord. Can someone point me to a #Edinburg #RioGrandeValley #rescue I can donate to? #Texas. This place is always the worst. #foster #pet #retweet",,,#Edinburg #RioGrandeValley #rescue #Texas #foster #pet #retweet,1265304137954189312,https://twitter.com/RealActorRob/status/1265304137954189312
2020-05-26 15:28:56,suzannee43,,0,9,4,"Spoiled #Pet #Travel Case, #Vintage Portable Food and Water Bowls Suitcase, Dog Cat Carrier Accessory #etsyspecialt #etsyseller #shopsmall #VintageEtsy @SNRTG @SGH_RTs @blazedrts @SpxcRTS #etsy #etsypro @SympathyRTS @FearRTs @RTFAMDNR @Cods_Rts https://www.etsy.com/HobbitHouse/listing/738680167/spoiled-pet-travel-case-vintage-portable?ref=listing_published_alert",,@SNRTG @SGH_RTs @BlazedRTs @SpxcRTs @SympathyRTs @FearRTs @Cods_Rts,#Pet #Travel #Vintage #etsyspecialt #etsyseller #shopsmall #VintageEtsy #etsy #etsypro,1265303915194531842,https://twitter.com/suzannee43/status/1265303915194531842
2020-05-26 15:16:07,CatMamasDotCom,,0,0,2,"Ah, the tortie cattitude - Snorty loves to remind Hector of who's top cat in the house... #pet family ",,,#pet,1265300691918209028,https://twitter.com/CatMamasDotCom/status/1265300691918209028
2020-05-26 15:09:04,MeowMoeDotCom,,0,3,10,"Cute Cats 0173 #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe #CuteCatsVideos #CuteKittensVideos #CuteKittiesVideos #CuteMeowVideos https://www.meowmoe.com/641493/cute-cats-0173/",,,#Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe #CuteCatsVideos #CuteKittensVideos #CuteKittiesVideos #CuteMeowVideos,1265298916423208967,https://twitter.com/MeowMoeDotCom/status/1265298916423208967
2020-05-26 14:56:04,MeowMoeDotCom,,0,1,6,"She doesn’t like it when I #Poke at her #Snow #Shoes, but I just can’t #Resist. #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe #Doesnt https://www.meowmoe.com/641491/she-doesnt-like-it-when-i-poke-at-her-snow-shoes-but-i-just-cant-resist/",,,#Poke #Snow #Shoes #Resist #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe #Doesnt,1265295646061473792,https://twitter.com/MeowMoeDotCom/status/1265295646061473792
2020-05-26 14:52:55,Blowster85,,1,1,2,"#PET #Petrel - Nice over ASK buy at 3.8p there",,,#PET #Petrel,1265294851618242560,https://twitter.com/Blowster85/status/1265294851618242560
2020-05-26 14:32:35,Rookie_Chi,,3,0,3,"Good morning to you guys and to all who have a weak stomach I apologize in advance but y’all know exactly who you’re following lol! This is exact why I call this guy Duke E. HOW IN THE FUCK DID HE MANAGE TO GET IT ON HIS WATER DISPENSER?! #pet #gerbil #lol #poop pic.twitter.com/vXbtiMEFUb",,,#pet #gerbil #lol #poop,1265289735569719297,https://twitter.com/Rookie_Chi/status/1265289735569719297
2020-05-26 13:54:17,LazyGam15511973,,2,2,3,"i tried to make a ""dog"" but when i finished i realized that my modeling skills are not that great :/ #roblox #RobloxDev #blender #pet ",,,#roblox #RobloxDev #blender #pet,1265280098577473538,https://twitter.com/LazyGam15511973/status/1265280098577473538
2020-05-26 13:20:24,Spider_Menace,,1,0,4,"Seriously... How do you 2 expect me to get up for work? #bunny #rabbit #rabbits #pet #flemishgiant #ThunderandDoom",,,#bunny #rabbit #rabbits #pet #flemishgiant #ThunderandDoom,1265271567862435840,https://twitter.com/Spider_Menace/status/1265271567862435840
2020-05-26 13:16:07,CatMamasDotCom,,0,0,6,"We know many cats like to be up high where they can survey their territory (and their humans)...but Snorty, really, do you need to get up on the ROOF? #pet #humor",,,#pet #humor,1265270492233175041,https://twitter.com/CatMamasDotCom/status/1265270492233175041
2020-05-26 12:56:06,bunnymoonevents,,0,1,16,"Late for work, gotta go! - Fred #rabbit #rabbits #rabbitlove #rabbitlife #bunny #bunnies #bunnylove #bunnylovers #bunnyrabbit #bunnylife #pet #pets #cute",,,#rabbit #rabbits #rabbitlove #rabbitlife #bunny #bunnies #bunnylove #bunnylovers #bunnyrabbit #bunnylife #pet #pets #cute,1265265453968089089,https://twitter.com/bunnymoonevents/status/1265265453968089089
2020-05-26 11:50:07,MeowHotelDerby,,0,3,1,"Has your #pet enjoyed a #holiday with us? We'd love it if you could write us a #review please. Just search meow hotel derby on #Google #reviews #cat #cats #puss #cattery #cathotel #catlife #catslife #kitty #meow #Derby #GoogleReview #FacebookReview #catboarding pic.twitter.com/6BQz9xdYlg",,,#pet #holiday #review #Google #reviews #cat #cats #puss #cattery #cathotel #catlife #catslife #kitty #meow #Derby #GoogleReview #FacebookReview #catboarding,1265248847242149890,https://twitter.com/MeowHotelDerby/status/1265248847242149890
2020-05-26 11:02:35,MorphMarket,,0,2,31,"2019 Female Albino Pied Female Burmese Python by Romeo's Reptiles, $22000 #snakes #herps #pet #reptile #herp #pets https://www.morphmarket.com/us/c/reptiles/pythons/burmese-pythons/347144?utm_source=twitter&amp;utm_medium=post&amp;utm_content=347144&amp;utm_campaign=twitter-featured-ad",,,#snakes #herps #pet #reptile #herp #pets,1265236885087158273,https://twitter.com/MorphMarket/status/1265236885087158273
2020-05-26 10:09:55,Blowster85,colebrooke1,1,2,2,"#Pet #Petrel - Makes complete sense. On its arse at 3.5p from highs of 26p. Now they are ready to progress their assets. Iraq Asset has a cost per barrel of $4 ",,,#Pet #Petrel,1265223632709726208,https://twitter.com/Blowster85/status/1265223632709726208
2020-05-26 10:04:56,colebrooke1,,2,2,1,"#Petrel #PET just bought in on the pullback. Significant upside here. 10p+ next few weeks IMHO.",,,#Petrel #PET,1265222378491129858,https://twitter.com/colebrooke1/status/1265222378491129858
2020-05-26 10:01:04,Blowster85,,0,1,2,"#PET #Petrel - Added a few at 3.75p.",,,#PET #Petrel,1265221404628258816,https://twitter.com/Blowster85/status/1265221404628258816
2020-05-26 09:48:30,Arlo19P,,5,3,57,"I have my mumma wrapped around my little paw I haven’t eaten much for a couple of days so I thought it was best for my hooman to hand feed me, upside down, in my bed #puppy #puppylove #puppylife #dogs #dogsoftwitter #dogsofinstagram #dogsduringlockdown #Chihuahua #pet ",,,#puppy #puppylove #puppylife #dogs #dogsoftwitter #dogsofinstagram #dogsduringlockdown #Chihuahua #pet,1265218245184946176,https://twitter.com/Arlo19P/status/1265218245184946176
2020-05-26 09:45:11,PetClubSA,,0,1,1,"From @sorabakes I'm going to kiss that perfect pink nose #cat #cats #kitten #kittens #kitty #pet #pets #instacat #catstagram #cats_of_instagram #catsofinstagram #catlover #catlovers #petstagram #petsofinstagram #catlife #cutecat #cutecats #meow #catlove #petclubsa",,,#cat #cats #kitten #kittens #kitty #pet #pets #instacat #catstagram #cats_of_instagram #catsofinstagram #catlover #catlovers #petstagram #petsofinstagram #catlife #cutecat #cutecats #meow #catlove #petclubsa,1265217407532118016,https://twitter.com/PetClubSA/status/1265217407532118016
2020-05-26 09:45:02,VHR29618053,,0,0,2,"\nWhat's this? @prilaga #sleeping #pet #ilovemycat #catsofinstagram #kittens #petsagram #photooftheday #lovekittens #catoftheday #adorable...",,@PrilAga,#sleeping #pet #ilovemycat #catsofinstagram #kittens #petsagram #photooftheday #lovekittens #catoftheday #adorable,1265217371465306113,https://twitter.com/VHR29618053/status/1265217371465306113
2020-05-26 09:38:26,PetMunchies,,64,426,244,"#win #giveaway of #PetMunchies #natural #dog #pet #treats #dogtreats #dogs #competition #dogsoftwitter #beef #liver sticks follow &amp; RT 2enter by 31st May",,,#win #giveaway #PetMunchies #natural #dog #pet #treats #dogtreats #dogs #competition #dogsoftwitter #beef #liver,1265215709379989504,https://twitter.com/PetMunchies/status/1265215709379989504
2020-05-26 09:03:39,catsanova_org,,0,1,2,"Who could abandon me. I mean look at me. I’m gorgeous. #catsanova #cat #cats #catlovers #animal #ambassacat #AdoptDontShop #meow #catsofinstagram #catsoftwitter #catlife #pet #pets #petagram #catloversclub #catsagram #catoftheday #catlady #cutecat #Kitten",,,#catsanova #cat #cats #catlovers #animal #ambassacat #AdoptDontShop #meow #catsofinstagram #catsoftwitter #catlife #pet #pets #petagram #catloversclub #catsagram #catoftheday #catlady #cutecat #Kitten,1265206957914259456,https://twitter.com/catsanova_org/status/1265206957914259456
2020-05-26 08:40:46,Scottypump91,,1,1,6,"Lieblingssnack #rabbit #bunny #rabbits #bunnies #banana #banane #kaninchen #pet #pets",,,#rabbit #bunny #rabbits #bunnies #banana #banane #kaninchen #pet #pets,1265201196584841216,https://twitter.com/Scottypump91/status/1265201196584841216
2020-05-26 08:33:04,MeowMoeDotCom,,0,1,7,"Cute cats #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe #CuteCatsVideos #CuteKittensVideos #CuteKittiesVideos #CuteMeowVideos https://www.meowmoe.com/641347/cute-cats-644/",,,#Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe #CuteCatsVideos #CuteKittensVideos #CuteKittiesVideos #CuteMeowVideos,1265199261957984261,https://twitter.com/MeowMoeDotCom/status/1265199261957984261
2020-05-26 08:20:04,MeowMoeDotCom,,0,2,7,"#Plucked from #Rising #Flood #Waters with 2 #Siblings #Today. Yeah, I'm a #Hero in my own #Mind anyway #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe #ʸᵉᵃʰ https://www.meowmoe.com/641345/plucked-from-rising-flood-waters-with-2-siblings-today-yeah-im-a-hero-in-my-own-mind-anyway%f0%9f%a4%a3/",,,#Plucked #Rising #Flood #Waters #Siblings #Today #Hero #Mind #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe,1265195990346280961,https://twitter.com/MeowMoeDotCom/status/1265195990346280961
2020-05-26 07:55:16,HoudiniDancing,,22,75,744,"Big mew for #tunatuesday enjoy your day friends #HoudiniDancing #cat #cats #catlovers #love #black #blackcat #blackcats #blackcatsrule #animal #Ambassacats #AdoptDontShop #catsoftwitter #Twitter #catlife #dance #meow #catsofinstagram #catsoftheday #pet #pets #petagram #smile",,,#tunatuesday #HoudiniDancing #cat #cats #catlovers #love #black #blackcat #blackcats #blackcatsrule #animal #Ambassacats #AdoptDontShop #catsoftwitter #Twitter #catlife #dance #meow #catsofinstagram #catsoftheday #pet #pets #petagram #smile #smile,1265189745459703808,https://twitter.com/HoudiniDancing/status/1265189745459703808
2020-05-26 07:50:38,smallcappick,,0,1,1,"#I3E #PETREL #PET China’s Q2 2020 oil demand shows signs of recovery - News for the Oil and Gas Sector ",,,#I3E #PETREL #PET,1265188579514486784,https://twitter.com/smallcappick/status/1265188579514486784
2020-05-26 07:50:12,smallcappick,,0,1,1,"#I3E #PETREL #PET Oil climbs on hopes market may balance in coming weeks - News for the Oil and Gas Sector ",,,#I3E #PETREL #PET,1265188473155321856,https://twitter.com/smallcappick/status/1265188473155321856
2020-05-26 07:49:30,Blytheweigh,,0,0,1," Petrel Resources has announced a placing to raise £250,000 by the issue of new ordinary shares. The Company plans to use the funds to strengthen the balance sheet &amp; enter into discussions with the Iraqi Ministry of Oil http://ow.ly/VDcn50zPRpq #PET #Oil #Iraq",,,#PET #Oil #Iraq,1265188295044141056,https://twitter.com/Blytheweigh/status/1265188295044141056
