date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-14 23:49:02,MeowMoeDotCom,,0,8,19,"My new #Kitten #Lilac #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe https://www.meowmoe.com/634452/my-new-kitten-lilac/ .",,,#Kitten #Lilac #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe,1261081118218096640,https://twitter.com/MeowMoeDotCom/status/1261081118218096640
2020-05-14 23:46:02,MeowMoeDotCom,,0,6,14,"#Ikki (probably around 7-8 w/o) #Adopted from a #Friend. First #Pet ever had and it’s a little #Joy of #Furball #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe https://www.meowmoe.com/634450/ikki-probably-around-7-8-w-o-adopted-from-a-friend-first-pet-ever-had-and-its-a-little-joy-of-furball/ .",,,#Ikki #Adopted #Friend #Pet #Joy #Furball #Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKittens #CuteKitten #MeowMoe,1261080362844860417,https://twitter.com/MeowMoeDotCom/status/1261080362844860417
2020-05-14 20:00:17,BrainandLifeMag,,24,5,48,"Do you have a #pet keeping you company during the #pandemic? We want to see them! Share their picture with us using #BrainandLife. : This is Selby, an avid reader of #BrainandLife and furry companion of one of our staff members. #dog #goldendoodle",,,#pet #pandemic #BrainandLife #BrainandLife #dog #goldendoodle,1261023550951088136,https://twitter.com/BrainandLifeMag/status/1261023550951088136
2020-05-14 19:32:05,DeMannies,,2,5,41,"What a pig gotta do? (Sound on!) #somuchlove #whatamangottado #guineapig #dinner #food #pet #cute #tiktok",,,#somuchlove #whatamangottado #guineapig #dinner #food #pet #cute #tiktok,1261016450627764224,https://twitter.com/DeMannies/status/1261016450627764224
2020-05-14 18:42:26,AmbassadorAries,,34,71,946,"Not sure what day of the week it is, but that doesn’t mean that I am not ready for the weekend. #cat #catstagram #CatsOfTwitter #catlover #animals #pet #gato #ilovemycat #lovecats #CatsOfTheQuarantine #cats #AdoptDontShop #blackcat",,,#cat #catstagram #CatsOfTwitter #catlover #animals #pet #gato #ilovemycat #lovecats #CatsOfTheQuarantine #cats #AdoptDontShop #blackcat,1261003958136582146,https://twitter.com/AmbassadorAries/status/1261003958136582146
2020-05-14 18:02:56,MorphMarket,,0,0,23,"PAIR!!!! Fire Spotnose & YB DH Puzzle Clown Male Ball Python by Royal Canadian Reptiles, $5000 #python #morph #pet https://www.morphmarket.com/us/c/reptiles/pythons/ball-pythons/342319?utm_source=twitter&amp;utm_medium=post&amp;utm_content=342319&amp;utm_campaign=twitter-featured-ad",,,#python #morph #pet,1260994017250205701,https://twitter.com/MorphMarket/status/1260994017250205701
2020-05-14 16:52:30,DrSandyCharles,,2,15,34,"Informative webinar on cardiac #sarcoid highlighting classic #CMR findings, prognostic importance of late gadolinium enhancement, and benefit of cardiac #PET. Thank you! @SCMRorg @purviparwani @AmitRPatelMD @almallahmo #CVimaging #whyCMR #cardiotwitter",,@SCMRorg @purviparwani @AmitRPatelMD @almallahmo,#sarcoid #CMR #PET #CVimaging #whyCMR #cardiotwitter,1260976290863210505,https://twitter.com/DrSandyCharles/status/1260976290863210505
2020-05-14 15:21:22,AmbassadorAries,,66,182,1926,"My first car trip in months! Just a drive to check on a friend’s property and back to home, but as soon as I saw Mom pick up my harness, I started purring. #Cats #CuteCats #CatsOfTwitter #catsofinstagram #panfur #meow #pet #catlover #AdoptDontShop #cat #thursdayvibes",,,#Cats #CuteCats #CatsOfTwitter #catsofinstagram #panfur #meow #pet #catlover #AdoptDontShop #cat #thursdayvibes,1260953357017104391,https://twitter.com/AmbassadorAries/status/1260953357017104391
2020-05-14 14:38:06,ImaginAbInc,,0,2,6,"Supporting #COVIDー19 research with access to #CD8 #immunology #PET imaging ",,,#COVID #CD8 #immunology #PET,1260942470482849796,https://twitter.com/ImaginAbInc/status/1260942470482849796
2020-05-14 12:15:49,bigbluecleanup,,0,4,6,"Our pets are a massive consumer of plastic and they don’t even know it! So here is the #pet owners’ guide to making a few #sustainable swaps on behalf of your furry friend. #BigBlueOceanCleanup",,,#pet #sustainable #BigBlueOceanCleanup,1260906663990747138,https://twitter.com/bigbluecleanup/status/1260906663990747138
